Qwen2.5-7B-Instruct_opus_Arabic	embed_sim=73.4000	rouge_l=45.0000	judge=45.6000
Qwen2.5-7B-Instruct_opus_French	embed_sim=85.0000	rouge_l=63.8000	judge=72.6000
Qwen2.5-7B-Instruct_opus_German	embed_sim=77.8000	rouge_l=51.2000	judge=56.6000
Qwen2.5-7B-Instruct_opus_Italian	embed_sim=86.2000	rouge_l=58.0000	judge=64.6000
Qwen2.5-7B-Instruct_opus_Japanese	embed_sim=66.0000	rouge_l=23.6000	judge=39.8000
Qwen2.5-7B-Instruct_opus_Portuguese	embed_sim=87.2000	rouge_l=63.4000	judge=66.2000
Qwen2.5-7B-Instruct_opus_Spanish	embed_sim=85.4000	rouge_l=65.8000	judge=71.6000
Qwen2.5-7B-Instruct_mmmlu_AR_XY	embed_sim=62.0000	rouge_l=62.0000	judge=62.8000
Qwen2.5-7B-Instruct_mmmlu_DE_DE	embed_sim=69.2000	rouge_l=69.2000	judge=69.4000
Qwen2.5-7B-Instruct_mmmlu_ES_LA	embed_sim=68.2000	rouge_l=68.2000	judge=69.4000
Qwen2.5-7B-Instruct_mmmlu_FR_FR	embed_sim=70.8000	rouge_l=70.8000	judge=72.0000
Qwen2.5-7B-Instruct_mmmlu_IT_IT	embed_sim=70.4000	rouge_l=70.4000	judge=71.2000
Qwen2.5-7B-Instruct_mmmlu_JA_JP	embed_sim=61.4000	rouge_l=61.4000	judge=64.0000
Qwen2.5-7B-Instruct_mmmlu_PT_BR	embed_sim=71.6000	rouge_l=71.6000	judge=71.8000
Qwen2.5-7B-Instruct_mhotpot_ar	embed_sim=28.8000	rouge_l=3.8000	judge=8.0000
Qwen2.5-7B-Instruct_mhotpot_en	embed_sim=48.2000	rouge_l=37.6000	judge=59.2000
Qwen2.5-7B-Instruct_mhotpot_ru	embed_sim=33.0000	rouge_l=8.4000	judge=26.6000
Qwen2.5-7B-Instruct_mhotpot_zh	embed_sim=30.2000	rouge_l=8.8000	judge=23.6000
Qwen2.5-7B-Instruct_nemotron_stem	embed_sim=59.8000	rouge_l=59.8000	judge=61.2000
Qwen2.5-7B-Instruct_nemotron_math	embed_sim=51.8000	rouge_l=25.2000	judge=15.8000
Qwen2.5-7B-Instruct_nemotron_chat	embed_sim=50.6000	rouge_l=2.2000	judge=88.2000

student_DataEnvGym_nemotron_stem_qwen7bins_opus_Arabic	embed_sim=52.2000	rouge_l=30.8000	judge=44.8000
student_DataEnvGym_nemotron_stem_qwen7bins_opus_French	embed_sim=54.4000	rouge_l=38.6000	judge=70.0000
student_DataEnvGym_nemotron_stem_qwen7bins_opus_German	embed_sim=56.0000	rouge_l=35.0000	judge=54.8000
student_DataEnvGym_nemotron_stem_qwen7bins_opus_Italian	embed_sim=65.6000	rouge_l=42.6000	judge=62.6000
student_DataEnvGym_nemotron_stem_qwen7bins_opus_Japanese	embed_sim=50.6000	rouge_l=17.8000	judge=36.2000
student_DataEnvGym_nemotron_stem_qwen7bins_opus_Portuguese	embed_sim=70.2000	rouge_l=48.6000	judge=65.4000
student_DataEnvGym_nemotron_stem_qwen7bins_opus_Spanish	embed_sim=65.2000	rouge_l=46.8000	judge=68.0000
student_DataEnvGym_nemotron_stem_qwen7bins_mmmlu_AR_XY	embed_sim=61.6000	rouge_l=61.6000	judge=62.2000
student_DataEnvGym_nemotron_stem_qwen7bins_mmmlu_DE_DE	embed_sim=67.8000	rouge_l=67.8000	judge=67.6000
student_DataEnvGym_nemotron_stem_qwen7bins_mmmlu_ES_LA	embed_sim=67.0000	rouge_l=67.0000	judge=69.2000
student_DataEnvGym_nemotron_stem_qwen7bins_mmmlu_FR_FR	embed_sim=70.0000	rouge_l=70.0000	judge=71.6000
student_DataEnvGym_nemotron_stem_qwen7bins_mmmlu_IT_IT	embed_sim=68.4000	rouge_l=68.4000	judge=69.8000
student_DataEnvGym_nemotron_stem_qwen7bins_mmmlu_JA_JP	embed_sim=60.8000	rouge_l=60.8000	judge=61.8000
student_DataEnvGym_nemotron_stem_qwen7bins_mmmlu_PT_BR	embed_sim=68.2000	rouge_l=68.2000	judge=69.2000
student_DataEnvGym_nemotron_stem_qwen7bins_mhotpot_ar	embed_sim=53.2000	rouge_l=3.4000	judge=15.0000
student_DataEnvGym_nemotron_stem_qwen7bins_mhotpot_en	embed_sim=73.6000	rouge_l=63.0000	judge=63.0000
student_DataEnvGym_nemotron_stem_qwen7bins_mhotpot_ru	embed_sim=56.6000	rouge_l=9.4000	judge=34.6000
student_DataEnvGym_nemotron_stem_qwen7bins_mhotpot_zh	embed_sim=51.0000	rouge_l=8.0000	judge=27.8000
student_DataEnvGym_nemotron_stem_qwen7bins_nemotron_stem	embed_sim=59.8000	rouge_l=59.8000	judge=61.6000
student_DataEnvGym_nemotron_stem_qwen7bins_nemotron_math	embed_sim=47.6000	rouge_l=20.2000	judge=13.4000
student_DataEnvGym_nemotron_stem_qwen7bins_nemotron_chat	embed_sim=32.2000	rouge_l=1.2000	judge=89.4000

Qwen2.5-14B-Instruct_opus_Arabic	embed_sim=81.0000	rouge_l=55.4000	judge=52.2000
Qwen2.5-14B-Instruct_opus_French	embed_sim=80.2000	rouge_l=58.0000	judge=72.0000
Qwen2.5-14B-Instruct_opus_German	embed_sim=76.4000	rouge_l=50.6000	judge=57.8000
Qwen2.5-14B-Instruct_opus_Italian	embed_sim=84.6000	rouge_l=57.2000	judge=64.6000
Qwen2.5-14B-Instruct_opus_Japanese	embed_sim=68.4000	rouge_l=24.2000	judge=43.0000
Qwen2.5-14B-Instruct_opus_Portuguese	embed_sim=84.8000	rouge_l=62.0000	judge=67.2000
Qwen2.5-14B-Instruct_opus_Spanish	embed_sim=88.2000	rouge_l=68.8000	judge=72.2000
Qwen2.5-14B-Instruct_mmmlu_AR_XY	embed_sim=70.0000	rouge_l=70.0000	judge=70.0000
Qwen2.5-14B-Instruct_mmmlu_DE_DE	embed_sim=75.0000	rouge_l=75.0000	judge=75.2000
Qwen2.5-14B-Instruct_mmmlu_ES_LA	embed_sim=74.2000	rouge_l=74.2000	judge=75.0000
Qwen2.5-14B-Instruct_mmmlu_FR_FR	embed_sim=77.6000	rouge_l=77.6000	judge=79.2000
Qwen2.5-14B-Instruct_mmmlu_IT_IT	embed_sim=72.2000	rouge_l=72.2000	judge=73.4000
Qwen2.5-14B-Instruct_mmmlu_JA_JP	embed_sim=70.2000	rouge_l=70.2000	judge=71.6000
Qwen2.5-14B-Instruct_mmmlu_PT_BR	embed_sim=73.8000	rouge_l=73.8000	judge=75.0000
Qwen2.5-14B-Instruct_mhotpot_ar	embed_sim=49.8000	rouge_l=3.4000	judge=18.6000
Qwen2.5-14B-Instruct_mhotpot_en	embed_sim=67.6000	rouge_l=57.6000	judge=63.6000
Qwen2.5-14B-Instruct_mhotpot_ru	embed_sim=51.4000	rouge_l=10.0000	judge=37.2000
Qwen2.5-14B-Instruct_mhotpot_zh	embed_sim=48.2000	rouge_l=8.8000	judge=30.0000
Qwen2.5-14B-Instruct_nemotron_stem	embed_sim=68.2000	rouge_l=68.2000	judge=68.6000
Qwen2.5-14B-Instruct_nemotron_math	embed_sim=51.8000	rouge_l=27.6000	judge=17.0000
Qwen2.5-14B-Instruct_nemotron_chat	embed_sim=48.8000	rouge_l=2.0000	judge=89.2000

Llama-3.1-8B-Instruct_opus_Arabic	embed_sim=50.8000	rouge_l=29.8000	judge=44.8000
Llama-3.1-8B-Instruct_opus_French	embed_sim=53.8000	rouge_l=37.2000	judge=69.2000
